prot_acc,TrivialName,Speices
sp|O75342|LX12B_HUMAN,"Arachidonate 12-lipoxygenase, 12R-type ",Homo sapiens
sp|P05089|ARGI1_HUMAN,Arginase-1,Homo sapiens
sp|Q5RA20|SYRC_PONAB,"Arginine--tRNA ligase, cytoplasmic ",Homo sapiens
sp|P14868|SYDC_HUMAN,"Aspartate--tRNA ligase, cytoplasmic ",Homo sapiens
sp|Q5R9I5|SYDC_PONAB,"Aspartate--tRNA ligase, cytoplasmic ",Homo sapiens
sp|A5A6H5|ATPA_PANTR,"ATP synthase subunit alpha, mitochondrial ",Homo sapiens
sp|B0VXH3|ATPO_CALJA,"ATP synthase subunit O, mitochondrial ",Homo sapiens
sp|Q5R636|PFKAP_PONAB,"ATP-dependent 6-phosphofructokinase, platelet type ",Homo sapiens
sp|P20160|CAP7_HUMAN,Azurocidin,Homo sapiens
sp|Q5R8H3|BAP31_PONAB,B-cell receptor-associated protein 31,Homo sapiens
sp|P17213|BPI_HUMAN,Bactericidal permeability-increasing protein,Homo sapiens
REV_sp|Q9P281|BAHC1_HUMAN,BAH and coiled-coil domain-containing protein 1,Homo sapiens
sp|P02730|B3AT_HUMAN,Band 3 anion transport protein,Homo sapiens
zz|Y-FGCZCont00154|,Beta casein,Homo sapiens
sp|Q95LB0|APOH_PANTR,Beta-2-glycoprotein 1,Homo sapiens
zz|Y-FGCZCont00027|,Beta-2-microglobulin,Homo sapiens
sp|P05814|CASB_HUMAN,Beta-casein,Homo sapiens
sp|Q9Y4K1|CRBG1_HUMAN,Beta/gamma crystallin domain-containing protein 1,Homo sapiens
sp|P19835|CEL_HUMAN,Bile salt-activated lipase,Homo sapiens
sp|Q13867|BLMH_HUMAN,Bleomycin hydrolase,Homo sapiens
sp|P13727|PRG2_HUMAN,Bone marrow proteoglycan,Homo sapiens
sp|Q9NP55|BPIA1_HUMAN,BPI fold-containing family A member 1,Homo sapiens
sp|Q96DR5|BPIA2_HUMAN,BPI fold-containing family A member 2,Homo sapiens
sp|Q8TDL5|BPIB1_HUMAN,BPI fold-containing family B member 1,Homo sapiens
sp|P80723|BASP1_HUMAN,Brain acid soluble protein 1,Homo sapiens
sp|Q13410|BT1A1_HUMAN,Butyrophilin subfamily 1 member A1,Homo sapiens
sp|P11586|C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic ",Homo sapiens
sp|Q5R8P0|C1TC_PONAB,"C-1-tetrahydrofolate synthase, cytoplasmic ",Homo sapiens
sp|P04003|C4BPA_HUMAN,C4b-binding protein alpha chain,Homo sapiens
sp|P12830|CADH1_HUMAN,Cadherin-1,Homo sapiens
sp|Q14CN2|CLCA4_HUMAN,Calcium-activated chloride channel regulator 4,Homo sapiens
sp|P0DP23|CALM1_HUMAN,Calmodulin-1,Homo sapiens
sp|P27482|CALL3_HUMAN,Calmodulin-like protein 3,Homo sapiens
sp|Q9NZT1|CALL5_HUMAN,Calmodulin-like protein 5,Homo sapiens
sp|P07384|CAN1_HUMAN,Calpain-1 catalytic subunit,Homo sapiens
sp|P23280|CAH6_HUMAN,Carbonic anhydrase 6,Homo sapiens
sp|Q5RCU5|CBR1_PONAB,Carbonyl reductase [NADPH] 1,Homo sapiens
sp|O75828|CBR3_HUMAN,Carbonyl reductase [NADPH] 3,Homo sapiens
sp|Q9UI42|CBPA4_HUMAN,Carboxypeptidase A4,Homo sapiens
sp|P06731|CEAM5_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 5,Homo sapiens
sp|P40199|CEAM6_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 6,Homo sapiens
sp|P31944|CASPE_HUMAN,Caspase-14,Homo sapiens
zz|Y-FGCZCont00193|,Catalase,Homo sapiens
sp|Q2I6W4|CATA_CALJA,Catalase,Homo sapiens
sp|Q5RF10|CATA_PONAB,Catalase,Homo sapiens
sp|Q1KLX1|CAMP_PANTR,Cathelicidin antimicrobial peptide,Homo sapiens
sp|P07858|CATB_HUMAN,Cathepsin B,Homo sapiens
zz|Y-FGCZCont00195|,Cathepsin D,Homo sapiens
zz|Y-FGCZCont00064|,Cathepsin G,Homo sapiens
sp|P21926|CD9_HUMAN,CD9 antigen,Homo sapiens
REV_sp|Q2M2Z5|KIZ_HUMAN,Centrosomal protein kizuna,Homo sapiens
sp|P00450|CERU_HUMAN,Ceruloplasmin,Homo sapiens
sp|Q5RBP6|CH3L1_PONAB,Chitinase-3-like protein 1,Homo sapiens
sp|O00299|CLIC1_HUMAN,Chloride intracellular channel protein 1,Homo sapiens
sp|O95833|CLIC3_HUMAN,Chloride intracellular channel protein 3,Homo sapiens
sp|P08217|CEL2A_HUMAN,Chymotrypsin-like elastase family member 2A,Homo sapiens
sp|P10909|CLUS_HUMAN,Clusterin,Homo sapiens
sp|O00748|EST2_HUMAN,Cocaine esterase,Homo sapiens
tr|A2NB46|A2NB46_HUMAN,Cold agglutinin FS-2 L-chain ,Homo sapiens
sp|P02452|CO1A1_HUMAN,Collagen alpha-1(I),Homo sapiens
sp|P02461|CO3A1_HUMAN,Collagen alpha-1(III),Homo sapiens
sp|P12109|CO6A1_HUMAN,Collagen alpha-1(VI),Homo sapiens
sp|Q99715|COCA1_HUMAN,Collagen alpha-1(XII),Homo sapiens
sp|P08123|CO1A2_HUMAN,Collagen alpha-2(I),Homo sapiens
sp|P05997|CO5A2_HUMAN,Collagen alpha-2(V),Homo sapiens
sp|P12111|CO6A3_HUMAN,Collagen alpha-3(VI),Homo sapiens
sp|P02747|C1QC_HUMAN,Complement C1q subcomponent subunit C,Homo sapiens
sp|P01024|CO3_HUMAN,Complement C3,Homo sapiens
sp|P0C0L4|CO4A_HUMAN,Complement C4-A,Homo sapiens
sp|P0C0L5|CO4B_HUMAN,Complement C4-B,Homo sapiens
zz|Y-FGCZCont00050|,Complement C5,Homo sapiens
sp|P02748|CO9_HUMAN,Complement component C9,Homo sapiens
sp|P00751|CFAB_HUMAN,Complement factor B,Homo sapiens
sp|O75131|CPNE3_HUMAN,Copine-3,Homo sapiens
sp|P22528|SPR1B_HUMAN,Cornifin-B,Homo sapiens
sp|Q9UBG3|CRNN_HUMAN,Cornulin,Homo sapiens
sp|P31146|COR1A_HUMAN,Coronin-1A,Homo sapiens
sp|P12532|KCRU_HUMAN,"Creatine kinase U-type, mitochondrial ",Homo sapiens
sp|P01040|CYTA_HUMAN,Cystatin-A,Homo sapiens
sp|P01034|CYTC_HUMAN,Cystatin-C,Homo sapiens
sp|Q15828|CYTM_HUMAN,Cystatin-M,Homo sapiens
sp|P01036|CYTS_HUMAN,Cystatin-S,Homo sapiens
sp|P09228|CYTT_HUMAN,Cystatin-SA,Homo sapiens
sp|P01037|CYTN_HUMAN,Cystatin-SN,Homo sapiens
sp|A8MQ03|CRTP1_HUMAN,Cysteine-rich tail protein 1,Homo sapiens
sp|P00403|C2_HUMAN,Cytochrome c oxidase subunit 2,Homo sapiens
sp|P13073|C41_HUMAN,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial ",Homo sapiens
sp|B0VYX1|C5A_PANTR,"Cytochrome c oxidase subunit 5A, mitochondrial ",Homo sapiens
sp|Q07065|CKAP4_HUMAN,Cytoskeleton-associated protein 4,Homo sapiens
sp|Q9H0P0|5NT3A_HUMAN,Cytosolic 5~-nucleotidase 3A,Homo sapiens
sp|P0C869|PA24B_HUMAN,Cytosolic phospholipase A2 beta,Homo sapiens
sp|Q86XP0|PA24D_HUMAN,Cytosolic phospholipase A2 delta,Homo sapiens
sp|Q3MJ16|PA24E_HUMAN,Cytosolic phospholipase A2 epsilon,Homo sapiens
sp|Q9UGM3|DMBT1_HUMAN,Deleted in malignant brain tumors 1 protein,Homo sapiens
sp|Q5R971|HEM2_PONAB,Delta-aminolevulinic acid dehydratase,Homo sapiens
sp|O00115|DNS2A_HUMAN,Deoxyribonuclease-2-alpha,Homo sapiens
sp|P81605|DCD_HUMAN,Dermcidin,Homo sapiens
sp|Q6E0U4|DMKN_HUMAN,Dermokine,Homo sapiens
zz|Y-FGCZCont00287|,Dermokine beta-1,Homo sapiens
sp|Q08554|DSC1_HUMAN,Desmocollin-1,Homo sapiens
sp|Q02487|DSC2_HUMAN,Desmocollin-2,Homo sapiens
sp|Q14574|DSC3_HUMAN,Desmocollin-3,Homo sapiens
sp|Q02413|DSG1_HUMAN,Desmoglein-1,Homo sapiens
sp|P32926|DSG3_HUMAN,Desmoglein-3,Homo sapiens
sp|P15924|DESP_HUMAN,Desmoplakin,Homo sapiens
sp|Q9UHL4|DPP2_HUMAN,Dipeptidyl peptidase 2,Homo sapiens
sp|Q5RFB6|RPN1_PONAB,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Homo sapiens
sp|O75923|DYSF_HUMAN,Dysferlin,Homo sapiens
sp|P19957|ELAF_HUMAN,Elafin,Homo sapiens
sp|P29692|EF1D_HUMAN,Elongation factor 1-delta,Homo sapiens
sp|P26641|EF1G_HUMAN,Elongation factor 1-gamma,Homo sapiens
sp|A0SXL6|EF2_CALJA,Elongation factor 2,Homo sapiens
sp|P49411|EFTU_HUMAN,"Elongation factor Tu, mitochondrial ",Homo sapiens
sp|P30040|ERP29_HUMAN,Endoplasmic reticulum resident protein 29,Homo sapiens
sp|Q9BS26|ERP44_HUMAN,Endoplasmic reticulum resident protein 44,Homo sapiens
sp|Q92817|EVPL_HUMAN,Envoplakin,Homo sapiens
sp|P12724|ECP_HUMAN,Eosinophil cationic protein,Homo sapiens
sp|P11678|PERE_HUMAN,Eosinophil peroxidase,Homo sapiens
sp|Q8TE68|ES8L1_HUMAN,Epidermal growth factor receptor kinase substrate 8-like protein 1,Homo sapiens
sp|Q9H6S3|ES8L2_HUMAN,Epidermal growth factor receptor kinase substrate 8-like protein 2,Homo sapiens
sp|Q5RC07|ES8L2_PONAB,Epidermal growth factor receptor kinase substrate 8-like protein 2,Homo sapiens
sp|P58107|EPIPL_HUMAN,Epiplakin,Homo sapiens
sp|P07099|HYEP_HUMAN,Epoxide hydrolase 1,Homo sapiens
sp|Q9H0W9|CK054_HUMAN,Ester hydrolase C11orf54,Homo sapiens
sp|P56537|IF6_HUMAN,Eukaryotic translation initiation factor 6,Homo sapiens
sp|Q16610|ECM1_HUMAN,Extracellular matrix protein 1,Homo sapiens
sp|P15311|EZRI_HUMAN,Ezrin,Homo sapiens
sp|P52907|CAZA1_HUMAN,F-actin-capping protein subunit alpha-1,Homo sapiens
sp|Q5NVM0|CAZA1_PONAB,F-actin-capping protein subunit alpha-1,Homo sapiens
sp|Q6ZVX7|FBX50_HUMAN,F-box only protein 50,Homo sapiens
sp|P14324|FPPS_HUMAN,Farnesyl pyrophosphate synthase,Homo sapiens
REV_sp|Q53R41|FAKD1_HUMAN,"FAST kinase domain-containing protein 1, mitochondrial ",Homo sapiens
sp|P49327|FAS_HUMAN,Fatty acid synthase,Homo sapiens
sp|Q01469|FABP5_HUMAN,Fatty acid-binding protein 5,Homo sapiens
zz|Y-FGCZCont00043|,FGCZCont0042 ambigous,Homo sapiens
zz|Y-FGCZCont00092|,FGCZCont0091,Homo sapiens
zz|Y-FGCZCont00137|,FGCZCont0136,Homo sapiens
zz|Y-FGCZCont00168|,FGCZCont0167,Homo sapiens
sp|P02671|FIBA_HUMAN,Fibrinogen alpha chain,Homo sapiens
sp|P02675|FIBB_HUMAN,Fibrinogen beta chain,Homo sapiens
sp|P02679|FIBG_HUMAN,Fibrinogen gamma chain,Homo sapiens
sp|P02751|FINC_HUMAN,Fibronectin,Homo sapiens
zz|Y-FGCZCont00442|,Filaggrin,Homo sapiens
sp|Q5D862|FILA2_HUMAN,Filaggrin-2,Homo sapiens
sp|P21333|FLNA_HUMAN,Filamin-A,Homo sapiens
sp|O75369|FLNB_HUMAN,Filamin-B,Homo sapiens
sp|P30043|BLVRB_HUMAN,Flavin reductase (NADPH),Homo sapiens
sp|Q5VWT5|FYB2_HUMAN,FYN-binding protein 2,Homo sapiens
sp|Q05315|LEG10_HUMAN,Galectin-10,Homo sapiens
sp|P17931|LEG3_HUMAN,Galectin-3,Homo sapiens
sp|Q5RDA4|LG3BP_PONAB,Galectin-3-binding protein,Homo sapiens
sp|P47929|LEG7_HUMAN,Galectin-7,Homo sapiens
sp|Q92820|GGH_HUMAN,Gamma-glutamyl hydrolase,Homo sapiens
sp|O75223|GGCT_HUMAN,Gamma-glutamylcyclotransferase,Homo sapiens
sp|P17900|SAP3_HUMAN,Ganglioside GM2 activator,Homo sapiens
sp|Q96QA5|GSDMA_HUMAN,Gasdermin-A,Homo sapiens
sp|Q13630|FCL_HUMAN,GDP-L-fucose synthase,Homo sapiens
zz|Y-FGCZCont00150|,Gelsolin,Homo sapiens
sp|P11413|G6PD_HUMAN,Glucose-6-phosphate 1-dehydrogenase,Homo sapiens
sp|P06744|G6PI_HUMAN,Glucose-6-phosphate isomerase,Homo sapiens
sp|P35754|GLRX1_HUMAN,Glutaredoxin-1,Homo sapiens
sp|P78417|GSTO1_HUMAN,Glutathione S-transferase omega-1,Homo sapiens
zz|Y-FGCZCont00037|,Glutathione S-transferase P,Homo sapiens
sp|P09211|GSTP1_HUMAN,Glutathione S-transferase P,Homo sapiens
sp|Q5R8R5|GSTP1_PONAB,Glutathione S-transferase P,Homo sapiens
sp|P04406|G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase,Homo sapiens
sp|Q5RAB4|G3P_PONAB,Glyceraldehyde-3-phosphate dehydrogenase,Homo sapiens
sp|P09466|PAEP_HUMAN,Glycodelin,Homo sapiens
sp|P06737|PYGL_HUMAN,"Glycogen phosphorylase, liver form ",Homo sapiens
sp|B0YN54|GLTP_PANTR,Glycolipid transfer protein,Homo sapiens
sp|Q6ZN66|GBP6_HUMAN,Guanylate-binding protein 6,Homo sapiens
sp|P00738|HPT_HUMAN,Haptoglobin,Homo sapiens
sp|P0DMV8|HS71A_HUMAN,Heat shock 70 kDa protein 1A,Homo sapiens
sp|P17066|HSP76_HUMAN,Heat shock 70 kDa protein 6,Homo sapiens
sp|P04792|HSPB1_HUMAN,Heat shock protein beta-1,Homo sapiens
sp|P09601|HM1_HUMAN,Heme oxygenase 1,Homo sapiens
sp|Q9Y5Z4|HEBP2_HUMAN,Heme-binding protein 2,Homo sapiens
zz|Y-FGCZCont00142|,Hemoglobin subunit alpha,Homo sapiens
sp|P01935|HBA3_PANTR,Hemoglobin subunit alpha-3,Homo sapiens
zz|Y-FGCZCont00175|,Hemoglobin subunit beta,Homo sapiens
sp|P02042|HBD_HUMAN,Hemoglobin subunit delta,Homo sapiens
sp|Q5R543|HEMO_PONAB,Hemopexin,Homo sapiens
sp|Q9Y251|HPSE_HUMAN,Heparanase,Homo sapiens
sp|P05546|HEP2_HUMAN,Heparin cofactor 2,Homo sapiens
sp|P0DMR1|HNRC4_HUMAN,Heterogeneous nuclear ribonucleoprotein C-like 4,Homo sapiens
sp|Q5RC71|HXK1_PONAB,Hexokinase-1,Homo sapiens
sp|P52790|HXK3_HUMAN,Hexokinase-3,Homo sapiens
sp|P42357|HUTH_HUMAN,Histidine ammonia-lyase,Homo sapiens
sp|A0A2R8Y619|H2BK1_HUMAN,Histone H2B type 2-K1,Homo sapiens
sp|P01889|HLAB_HUMAN,"HLA class I histocompatibility antigen, B alpha chain ",Homo sapiens
sp|Q86YZ3|HORN_HUMAN,Hornerin,Homo sapiens
sp|Q9BYJ1|LE3_HUMAN,Hydroperoxide isomerase ALE3,Homo sapiens
sp|Q9Y6R7|FCGBP_HUMAN,IgGFc-binding protein,Homo sapiens
sp|P0D2|IGA2_HUMAN,Immunoglobulin alpha-2 heavy chain,Homo sapiens
sp|P0D5|IGG1_HUMAN,Immunoglobulin gamma-1 heavy chain,Homo sapiens
sp|P01876|IGHA1_HUMAN,Immunoglobulin heavy constant alpha 1,Homo sapiens
sp|P01877|IGHA2_HUMAN,Immunoglobulin heavy constant alpha 2,Homo sapiens
sp|P01859|IGHG2_HUMAN,Immunoglobulin heavy constant gamma 2,Homo sapiens
sp|P01860|IGHG3_HUMAN,Immunoglobulin heavy constant gamma 3,Homo sapiens
sp|P01871|IGHM_HUMAN,Immunoglobulin heavy constant mu,Homo sapiens
sp|A0A0C4DH31|HV118_HUMAN,Immunoglobulin heavy variable 1-18,Homo sapiens
sp|A0A0B4J1V1|HV321_HUMAN,Immunoglobulin heavy variable 3-21,Homo sapiens
sp|P0DP03|HVC05_HUMAN,Immunoglobulin heavy variable 3-30-5,Homo sapiens
sp|A0A0B4J1X5|HV374_HUMAN,Immunoglobulin heavy variable 3-74,Homo sapiens
sp|A0A0C4DH41|HV461_HUMAN,Immunoglobulin heavy variable 4-61,Homo sapiens
sp|P01591|IGJ_HUMAN,Immunoglobulin J chain,Homo sapiens
sp|P01834|IGKC_HUMAN,Immunoglobulin kappa constant,Homo sapiens
sp|P0D7|IGK_HUMAN,Immunoglobulin kappa light chain,Homo sapiens
sp|A0A075B6P5|KV228_HUMAN,Immunoglobulin kappa variable 2-28,Homo sapiens
sp|P01619|KV320_HUMAN,Immunoglobulin kappa variable 3-20,Homo sapiens
sp|A0A0A0MRZ8|KVD11_HUMAN,Immunoglobulin kappa variable 3D-11,Homo sapiens
sp|P0DOY2|IGLC2_HUMAN,Immunoglobulin lambda constant 2,Homo sapiens
sp|P0CF74|IGLC6_HUMAN,Immunoglobulin lambda constant 6,Homo sapiens
sp|A0M8Q6|IGLC7_HUMAN,Immunoglobulin lambda constant 7,Homo sapiens
sp|P01700|LV147_HUMAN,Immunoglobulin lambda variable 1-47,Homo sapiens
sp|P01704|LV214_HUMAN,Immunoglobulin lambda variable 2-14,Homo sapiens
sp|A0A075B6K5|LV39_HUMAN,Immunoglobulin lambda variable 3-9,Homo sapiens
sp|A0A075B6I9|LV746_HUMAN,Immunoglobulin lambda variable 7-46,Homo sapiens
sp|P0D8|IGL1_HUMAN,Immunoglobulin lambda-1 light chain,Homo sapiens
sp|P0D6|IGM_HUMAN,Immunoglobulin mu heavy chain,Homo sapiens
sp|O14732|IMPA2_HUMAN,Inositol monophosphatase 2,Homo sapiens
sp|P14735|IDE_HUMAN,Insulin-degrading enzyme,Homo sapiens
sp|P35858|ALS_HUMAN,Insulin-like growth factor-binding protein complex acid labile subunit,Homo sapiens
sp|P11215|ITAM_HUMAN,Integrin alpha-M,Homo sapiens
sp|P05107|ITB2_HUMAN,Integrin beta-2,Homo sapiens
sp|P19827|ITIH1_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H1,Homo sapiens
sp|P19823|ITIH2_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H2,Homo sapiens
sp|Q14624|ITIH4_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H4,Homo sapiens
sp|P18510|IL1RA_HUMAN,Interleukin-1 receptor antagonist protein,Homo sapiens
sp|Q9NZH8|IL36G_HUMAN,Interleukin-36 gamma,Homo sapiens
sp|P07476|INVO_HUMAN,Involucrin,Homo sapiens
REV_sp|A0A1B0GVH7|IQCM_HUMAN,IQ domain-containing protein M,Homo sapiens
sp|P14923|PLAK_HUMAN,Junction plakoglobin,Homo sapiens
sp|P06870|KLK1_HUMAN,Kallikrein-1,Homo sapiens
sp|Q9P0G3|KLK14_HUMAN,Kallikrein-14,Homo sapiens
sp|Q92876|KLK6_HUMAN,Kallikrein-6,Homo sapiens
sp|P07498|CASK_HUMAN,Kappa-casein,Homo sapiens
sp|A5A6M6|K2C1_PANTR,Keratin 1,Homo sapiens
zz|Y-FGCZCont00026|,Keratin 1,Homo sapiens
zz|Y-FGCZCont00179|,Keratin 1,Homo sapiens
zz|Y-FGCZCont00051|,Keratin 1,Homo sapiens
zz|Y-FGCZCont00078|,Keratin 1,Homo sapiens
sp|P04264|K2C1_HUMAN,Keratin 10,Homo sapiens
zz|Y-FGCZCont00286|,Keratin 10,Homo sapiens
zz|Y-FGCZCont00046|,Keratin 10,Homo sapiens
zz|Y-FGCZCont00159|,Keratin 10,Homo sapiens
zz|Y-FGCZCont00127|,Keratin 10,Homo sapiens
zz|Y-FGCZCont00406|,Keratin 11,Homo sapiens
zz|Y-FGCZCont00452|,Keratin 13,Homo sapiens
sp|P13646|K1C13_HUMAN,Keratin 13,Homo sapiens
zz|Y-FGCZCont00028|,Keratin 13,Homo sapiens
zz|Y-FGCZCont00239|,Keratin 13,Homo sapiens
zz|Y-FGCZCont00058|,Keratin 13,Homo sapiens
zz|Y-FGCZCont00288|,Keratin 14,Homo sapiens
zz|Y-FGCZCont00188|,Keratin 14,Homo sapiens
zz|Y-FGCZCont00395|,Keratin 15,Homo sapiens
zz|Y-FGCZCont00121|,Keratin 15,Homo sapiens
zz|Y-FGCZCont00189|,Keratin 16,Homo sapiens
zz|Y-FGCZCont00014|,Keratin 16,Homo sapiens
zz|Y-FGCZCont00084|,Keratin 17,Homo sapiens
zz|Y-FGCZCont00036|,Keratin 18,Homo sapiens
sp|Q5R8S9|K1C19_PONAB,Keratin 19,Homo sapiens
zz|Y-FGCZCont00090|,Keratin 19,Homo sapiens
zz|Y-FGCZCont00285|,Keratin 2,Homo sapiens
zz|Y-FGCZCont00147|,Keratin 2,Homo sapiens
sp|Q9C075|K1C23_HUMAN,Keratin 23,Homo sapiens
sp|Q2M2I5|K1C24_HUMAN,Keratin 24,Homo sapiens
sp|A5A6N2|K1C25_PANTR,Keratin 25,Homo sapiens
sp|Q7Z3Y7|K1C28_HUMAN,Keratin 28,Homo sapiens
zz|Y-FGCZCont00431|,Keratin 3,Homo sapiens
sp|P12035|K2C3_HUMAN,Keratin 3,Homo sapiens
zz|Y-FGCZCont00408|,Keratin 31,Homo sapiens
sp|A5A6M5|K1H1_PANTR,Keratin 31,Homo sapiens
sp|Q14532|K1H2_HUMAN,Keratin 32,Homo sapiens
sp|O76009|KT33A_HUMAN,Keratin 33A,Homo sapiens
sp|A5A6P3|KT33A_PANTR,Keratin 33A,Homo sapiens
zz|Y-FGCZCont00282|,Keratin 33A,Homo sapiens
zz|Y-FGCZCont00190|,Keratin 33B,Homo sapiens
zz|Y-FGCZCont00081|,Keratin 33B,Homo sapiens
zz|Y-FGCZCont00279|,Keratin 34,Homo sapiens
zz|Y-FGCZCont00030|,Keratin 34,Homo sapiens
sp|Q92764|KRT35_HUMAN,Keratin 35,Homo sapiens
zz|Y-FGCZCont00007|,Keratin 36,Homo sapiens
zz|Y-FGCZCont00109|,Keratin 38,Homo sapiens
sp|Q6A163|K1C39_HUMAN,Keratin 39,Homo sapiens
zz|Y-FGCZCont00025|,Keratin 4,Homo sapiens
zz|Y-FGCZCont00268|,Keratin 4,Homo sapiens
zz|Y-FGCZCont00284|,Keratin 5,Homo sapiens
sp|A5A6M8|K2C5_PANTR,Keratin 5,Homo sapiens
zz|Y-FGCZCont00038|,Keratin 5,Homo sapiens
zz|Y-FGCZCont00389|,Keratin 6A,Homo sapiens
zz|Y-FGCZCont00035|,Keratin 6A,Homo sapiens
zz|Y-FGCZCont00144|,Keratin 6A,Homo sapiens
zz|Y-FGCZCont00060|,Keratin 6A,Homo sapiens
zz|Y-FGCZCont00034|,Keratin 6B,Homo sapiens
zz|Y-FGCZCont00174|,Keratin 6B,Homo sapiens
